名古屋市,名古屋コーチン,ういろう,鯉,ナマズ,豆味噌,味噌煮込みうどん,,,,,,,,,,,,,,,,,,
愛西市,蓮根,イチゴ「とちおとめ」「ゆめのか」,トマト「桃太郎ヨーク」「千果」,ナス,レンコン,ニンジン,大根,ミツバ,ショウガ,日本酒,,,,,,,,,,,,,,
あま市,七宝焼き「尾張七宝」,刷子,刷毛,小松菜,おやき,どら焼き,ゆば,蕎麦,ミズナ,壬生菜（みぶな）,越津ネギ,方領大根,味噌,醤油,千石豆,,,,,,,,,
安城市,和泉そうめん,米「コシヒカリ」「あいちのかおり」,小麦,大豆「フクユタカ」,キュウリ「三河みどり」,梨「愛甘水」,イチジク,いちご,ぶどう「デラウェア」,菊,バラ,安城和牛,,,,,,,,,,,,
一宮市,きしめん,一宮妙興報恩禅寺そば,日本酒「ツインアーチ138」「真清田」「石刀」,,,,,,,,,,,,,,,,,,,,,
稲沢市,よりぼし漬,矢合まんじゅう,菓子「はだかもなか」「国府宮もなか」,あしたば,銀杏麺,日本酒「なおい」,いなっピー銀杏カレー,ぎんなんきしめん,,,,,,,,,,,,,,,,
犬山市,犬山ローレライ麦酒,きめだまげんこつ,げんこつ飴,犬山茶,ハチミツ,,,,,,,,,,,,,,,,,,,
岩倉市,名古屋コーチン,新ブランド野菜「ちっチャイ菜」,,,,,,,,,,,,,,,,,,,,,,
大府市,ぶどう「デラウェア」「巨峰」「スチューベン」,いちご「あきひめ」「とちおとめ」,北崎のジャンボ梨「新高」,木の山の芋,キャベツ,山芋焼酎木の山（このやま）,日本酒「大府の夢」,菓子「大府物語」「ぶどうせんべい」,漬け物「巨峰しぼりだいこん」「七福神漬」,,,,,,,,,,,,,,,
岡崎市,八丁味噌,,,,,,,,,,,,,,,,,,,,,,,
尾張旭市,いちじく,プチヴェール,蓮根焼酎,無二流もなか,きびもち,いちっこ,ワイン「夢みるいちじくワイン」,夢みるいちじく果実酢,焼酎「だで」,,,,,,,,,,,,,,,
春日井市,実生サボテン,サボテンのアイス,,,,,,,,,,,,,,,,,,,,,,
蒲郡市,蒲郡ミカン,三州もち,エビせんべい,ごま油,きしめん,アカザエビ,あさり,三河木綿,,,,,,,,,,,,,,,,
刈谷市,だいこん,白菜,すいか,ぶどう「デラウェア」「巨峰」,いちじく,米「コシヒカリ」「あいちのかおり」「あさひの夢」,梨「幸水」「豊水」「新高」,,,,,,,,,,,,,,,,,
北名古屋市,いちじく,,,,,,,,,,,,,,,,,,,,,,,
清須市,宮重大根,土田かぼちゃ,だいこんきよす,日本酒「鬼ころし」「清洲城信長」,守口漬,,,,,,,,,,,,,,,,,,,
江南市,なばな,きしめん,,,,,,,,,,,,,,,,,,,,,,
小牧市,しのおかの桃,柿,ぶどう,名古屋コーチン,えび芋,,,,,,,,,,,,,,,,,,,
新城市,新城茶,柿「次郎」「富有」,巨峰,いちご「紅ほっぺ」「ゆめのか」,里芋（八名丸）,自然薯,鉢花,米「ミネアサヒ」,トマト「桃太郎」,五平餅,つまもの,梅加工品,鳳来牛,鮎,日本酒「豊」「瑞穂」「桜山水」「新城御前」「朝日嶽」,,,,,,,,,
瀬戸市,瀬戸焼,,,,,,,,,,,,,,,,,,,,,,,
高浜市,味噌饅頭,養鰻,,,,,,,,,,,,,,,,,,,,,,
田原市,みかわポーク,ちりめん,キャベツ,トマト,キク,メロン,大アサリ,海苔,赤甘酒,とこはるうどん,芋切干ようかん,,,,,,,,,,,,,
知多市,きんかん,梅,まめみそ,きしめん,たまり醤油,佐布里の梅干,梅ぜりぃ,やまもも酒,佐布里の梅酒,,,,,,,,,,,,,,,
知立市,大あんまき,きしめん,,,,,,,,,,,,,,,,,,,,,,
津島市,銘菓「あかだ」「くつわ」,雪駄,太鼓,レンコン,なまずの蒲焼き,モロコの押しずし,津島麩,日本酒,太鼓,,,,,,,,,,,,,,,
東海市,ふき,ワイン,えびせんべい,キャベツ,きゃらぶき,,,,,,,,,,,,,,,,,,,
常滑市,キャベツ,タマネギ,小松菜,イチジク「桝井ドーフィン」,海苔,スイートコーン,苺「豊の香」,キウイフルーツ,菊,あさり,常滑牛乳,,,,,,,,,,,,,
豊明市,米「コシヒカリ」「あいちのかおり」,小麦「農林６１号」,大豆「フクユタカ」,黒大豆,白菜,ピチヴェール,露地野菜「さつまいも」「キャベツ」「さといも」「すいか」,ぶどう「デラウエア」,柿「次郎柿」「富有柿」,,,,,,,,,,,,,,,
豊川市,千成ひょうたん,自然薯,音羽米,シクラメン,バラ,みかん,イチジク,いちご「とちおとめ」,米「あいちのかおり」,大葉,千両さつま芋,トマト「桃太郎」,白菜,ハーブ,ぶどう「巨峰」,アスパラガス,,,,,,,,
豊田市,松平まんじゅう,梨「愛宕」,桃「猿投の桃」,自然薯,スッポン,五平餅,干しあさひ柿,日本酒「菊石」「蓬莱泉」,春の七草,茶「てん茶」「かぶせ茶」,椎茸,いちじく,スイカ「祭ばやし777」,菊,米「ミネアサヒ」「コシヒカリ」「大地の風」,鮎,,,,,,,,
豊橋市,うずら,養豚,養鶏,ちくわ,寒天ゼリー,ハゼの佃煮,キャベツ,愛知白菜,トマト,千両なす,いちご「章姫」「とちおとめ」「紅ほっぺ」,アールスメロン（マスクメロン）,三河すいか,ブドウ「種なし巨峰」,柿「次郎柿」「愛秋豊」,いちじく,大葉,ほじそ,食用菊,ハーブ,エディブルフラワー,みかわ牛,黒潮牛,鶏卵
西尾市,西尾の抹茶,米,きゅうり,三河梨,バラ,一色産うなぎ,えびせんべい,いちご,海苔,島あさり,みかん,干物,蛸「ノボリダコ」「オチダコ」,牡蠣,岩牡蠣,アワビ,サザエ,車エビ,アカシエビ,ワタリガニ,イシガニ,日本酒「あいおい」「尊皇」「幻々」,,
日進市,どんと焼,エリンギ,プチヴェール,にっしんうりぼー,,,,,,,,,,,,,,,,,,,,
半田市,知多牛,あいぽーくカレー,あいぽーくどて煮,味噌かつのたれ,たまり醤油,日本酒「清正竹皮」「半田郷」「南吉の里」,,,,,,,,,,,,,,,,,,
碧南市,たまり醤油,日本酒,みりん,えびせんべい,コノシロ,コハダ,シラス,イカナゴ,クギ煮,にんじん「へきなん美人」,たまねぎ「七宝早生7号」,かんしょ,赤しそ,イチジク,トマト,きゅうり,千両ナス,菊,養豚,白しょうゆ,,,,
みよし市,梨,柿,ぶどう,お酢ドリンク「いいじゃん美人」,梅ワイン「あざみ野」,,,,,,,,,,,,,,,,,,,
東郷町,トマト,メロン,,,,,,,,,,,,,,,,,,,,,,
大治町,紫蘇,,,,,,,,,,,,,,,,,,,,,,,
蟹江町,漬物,いちじく,,,,,,,,,,,,,,,,,,,,,,
設楽町,設楽猪肉,トマト,エゴマドレッシング,,,,,,,,,,,,,,,,,,,,,
東栄町,東栄チキン,東栄さんさのお漬物,,,,,,,,,,,,,,,,,,,,,,
豊根村,梅製品,漬け物,とちもち,ゆべし,ユズ,ショウガ,,,,,,,,,,,,,,,,,,
阿久比町,梅,レンゲ米「阿久比米れんげちゃん」,,,,,,,,,,,,,,,,,,,,,,
武豊町,みそ,しょうゆ,武豊沢庵,,,,,,,,,,,,,,,,,,,,,
東浦町,巨峰ワイン,巨峰,ワイン羊羹,,,,,,,,,,,,,,,,,,,,,
南知多町,イチゴ,ミカン,魚介類,,,,,,,,,,,,,,,,,,,,,
美浜町,えびせんべい,いかせんべい,うるめいわし,美浜の塩,,,,,,,,,,,,,,,,,,,,
豊山町,どじょう寿司,,,,,,,,,,,,,,,,,,,,,,,
大口町,カリモリのかす漬け,清酒「おおぐち」,米「あいちのかおり」,,,,,,,,,,,,,,,,,,,,,
扶桑町,守口大根,ごぼう,,,,,,,,,,,,,,,,,,,,,,
幸田町,筆柿,いちご,なす,ミカン,彦左焼酎,,,,,,,,,,,,,,,,,,,
